Year,Rank,Name,Age,Exp,G,Rsh,RshYd,Y/Rsh,RshTD,Rec,RecYd,RecTD,FP/G,FantPt,Team
1999,99,Marc Edwards,25.0,3.0,5,6,35,5.8,0,7,73,0,3.6,17.8,CLE
1999,100,Autry Denson,23.0,1.0,3,28,98,3.5,0,4,28,0,5.5,16.6,MIA
1999,101,Troy Davis,24.0,3.0,6,20,32,1.6,0,7,53,0,2.6,15.5,NO
1999,102,Moe Williams,25.0,4.0,7,24,69,2.9,1,1,12,0,2.2,15.1,MIN
1999,103,Anthony Johnson,32.0,10.0,7,25,72,2.9,0,4,22,0,1.9,13.4,CAR
1999,104,Tony Carter,27.0,6.0,3,5,22,4.4,0,6,47,0,4.3,12.9,NE
1999,105,Kevin Turner,30.0,8.0,3,6,15,2.5,0,7,37,0,4.1,12.2,PHI
1999,106,Travis Jervey,27.0,5.0,2,6,49,8.2,1,1,2,0,6.0,12.1,SF
1999,107,Ahman Green,22.0,2.0,8,26,120,4.6,0,0,0,0,1.5,12.0,SEA
1999,108,Edgar Bennett,30.0,8.0,5,6,28,4.7,0,6,31,0,2.4,11.9,CHI
1999,109,Sedrick Shaw,26.0,3.0,3,7,22,3.1,1,3,4,0,3.9,11.6,CIN
1999,110,Jamal Anderson,27.0,6.0,2,19,59,3.1,0,2,34,0,5.6,11.3,ATL
1999,111,Tommy Vardell,30.0,8.0,2,6,6,1.0,1,3,10,0,5.3,10.6,SF
1999,112,Jerry Ellison,28.0,5.0,2,2,10,5.0,0,4,50,0,5.0,10.0,NE
1999,113,Terry Jackson,23.0,1.0,3,15,75,5.0,0,2,3,0,3.3,9.8,SF
1999,114,Ki-Jana Carter,26.0,4.0,1,6,15,2.5,1,1,11,0,9.6,9.6,CIN
1999,115,James Hodgins,22.0,1.0,4,7,10,1.4,1,1,10,0,2.2,9.0,STL
1999,116,John Avery,23.0,2.0,3,5,21,4.2,0,4,24,0,2.8,8.5,DEN
1999,117,Keith Elias,27.0,6.0,2,13,28,2.2,0,4,16,0,4.2,8.4,IND
1999,118,Joel Makovicka,24.0,1.0,7,8,7,0.9,0,4,37,0,1.2,8.4,ARI
1999,119,Lorenzo Neal,29.0,7.0,2,2,1,0.5,1,1,8,0,4.0,7.9,TEN
1999,120,Harold Shaw,25.0,2.0,2,9,23,2.6,0,2,31,0,3.7,7.4,NE
1999,121,Nick Williams,22.0,1.0,3,10,30,3.0,0,2,21,0,2.4,7.1,CIN
