Year,Rank,Name,Age,Exp,G,Rec,RecYd,Y/Rec,RecTD,FP/G,FantPt,Team
2017,23,Austin Seferian-Jenkins,25.0,4.0,13,50,357,7.1,3,8.0,103.7,NYJ
2017,24,Jesse James,23.0,3.0,16,43,372,8.7,3,6.1,98.2,PIT
2017,25,Julius Thomas,29.0,7.0,14,41,388,9.5,3,7.0,97.8,MIA
2017,26,David Njoku,21.0,1.0,16,32,386,12.1,4,5.9,94.7,CLE
2017,27,Marcedes Lewis,33.0,12.0,16,24,318,13.3,5,5.4,85.8,JAX
2017,28,Ed Dickson,30.0,8.0,16,30,437,14.6,1,5.0,79.7,CAR
2017,29,Antonio Gates,37.0,15.0,16,30,316,10.5,3,5.0,79.6,LAC
2017,30,Garrett Celek,29.0,6.0,16,21,336,16.0,4,4.9,78.6,SF
2017,31,Seth DeValve,24.0,2.0,16,33,395,12.0,1,4.9,78.5,CLE
2017,32,Trey Burton,26.0,4.0,15,23,248,10.8,5,5.2,77.8,PHI
2017,33,Jermaine Gresham,29.0,8.0,14,33,322,9.8,2,5.5,77.2,ARI
2017,34,Nick O'Leary,25.0,3.0,15,22,322,14.6,2,4.4,66.2,BUF
2017,35,Stephen Anderson,24.0,2.0,15,25,342,13.7,1,4.3,65.2,HOU
2017,36,Coby Fleener,29.0,6.0,11,22,295,13.4,2,5.8,63.5,NO
2017,37,Tyler Higbee,24.0,2.0,16,25,295,11.8,1,3.8,60.5,LAR
2017,38,Jordan Reed,27.0,5.0,6,27,211,7.8,2,10.0,60.1,WAS
2017,39,Rhett Ellison,29.0,6.0,16,24,235,9.8,2,3.7,59.5,NYG
2017,40,Jordan Matthews,25.0,4.0,10,25,282,11.3,1,5.9,59.2,BUF
2017,41,Martellus Bennett,30.0,10.0,9,30,286,9.5,0,6.5,58.6,
2017,42,A.J. Derby,26.0,3.0,11,21,244,11.6,2,5.2,57.4,
2017,43,Zach Miller,33.0,9.0,8,20,236,11.8,2,7.0,55.6,CHI
2017,44,Luke Willson,27.0,5.0,16,15,153,10.2,4,3.4,54.3,SEA
2017,45,Gerald Everett,23.0,1.0,16,16,244,15.3,2,3.4,53.7,LAR
2017,46,Darren Fells,31.0,5.0,16,17,177,10.4,3,3.3,52.7,DET
2017,47,Ricky Seals-Jones,22.0,1.0,7,12,201,16.8,3,7.2,50.1,ARI
2017,48,Nick Boyle,24.0,3.0,15,28,203,7.3,0,3.2,48.3,BAL
2017,49,Demetrius Harris,26.0,5.0,16,18,224,12.4,1,2.9,46.4,KC
2017,50,Jonnu Smith,22.0,1.0,16,18,157,8.7,2,2.9,45.7,TEN
2017,51,Lance Kendricks,29.0,7.0,16,18,203,11.3,1,2.8,44.3,GB
2017,52,Adam Shaheen,23.0,1.0,13,12,127,10.6,3,3.3,42.7,CHI
2017,53,Greg Olsen,32.0,11.0,7,17,191,11.2,1,6.0,42.1,CAR
2017,54,Virgil Green,29.0,7.0,16,14,191,13.6,1,2.4,39.1,DEN
2017,55,Dion Sims,26.0,5.0,14,15,180,12.0,1,2.8,39.0,CHI
2017,56,Vance McDonald,27.0,5.0,10,14,188,13.4,1,3.9,38.8,PIT
2017,57,Levine Toilolo,26.0,5.0,15,12,122,10.2,1,2.4,36.2,ATL
2017,58,Jeff Heuerman,25.0,3.0,14,9,142,15.8,2,2.5,35.2,DEN
2017,59,James O'Shaughnessy,25.0,3.0,16,14,149,10.6,1,2.2,34.9,JAX
2017,60,Ryan Griffin,27.0,5.0,7,13,158,12.2,1,5.0,34.8,HOU
2017,61,Richard Rodgers,25.0,4.0,15,12,160,13.3,1,2.3,34.0,GB
2017,62,Josh Hill,27.0,6.0,16,16,125,7.8,1,2.1,33.7,NO
2017,63,Brent Celek,32.0,11.0,16,13,130,10.0,1,2.0,32.0,PHI
2017,64,Nick Vannett,24.0,2.0,15,12,124,10.3,1,2.0,30.4,SEA
2017,65,Troy Niklas,25.0,4.0,15,11,132,12.0,1,2.0,30.2,ARI
2017,66,Maxx Williams,23.0,3.0,11,15,86,5.7,1,2.7,30.2,BAL
2017,67,Anthony Fasano,33.0,12.0,16,12,107,8.9,1,1.8,28.7,MIA
2017,68,C.J. Fiedorowicz,26.0,4.0,5,14,127,9.1,0,5.3,26.7,HOU
2017,69,Eric Tomlinson,25.0,3.0,14,8,121,15.1,1,1.9,26.1,NYJ
2017,70,Daniel Brown,25.0,3.0,9,13,129,9.9,0,2.9,25.9,CHI
2017,71,David Morgan,24.0,2.0,15,10,95,9.5,1,1.7,25.5,MIN
2017,72,C.J. Uzomah,24.0,3.0,14,10,92,9.2,1,1.8,25.2,CIN
2017,73,Brandon Williams,30.0,5.0,11,13,121,9.3,0,2.3,25.1,IND
2017,74,Dwayne Allen,27.0,6.0,16,10,86,8.6,1,1.5,24.6,NE
2017,75,Niles Paul,28.0,7.0,14,13,94,7.2,0,1.6,22.8,WAS
2017,76,Logan Thomas,26.0,4.0,11,7,67,9.6,1,1.8,19.7,BUF
2017,77,James Hanna,28.0,6.0,16,4,88,22.0,1,1.2,18.8,DAL
2017,78,Jerell Adams,25.0,2.0,15,8,92,11.5,0,1.1,17.2,NYG
2017,79,Michael Hoomanawanui,29.0,8.0,14,6,52,8.7,1,1.2,17.2,NO
2017,80,Clive Walford,26.0,3.0,13,9,80,8.9,0,1.3,17.0,OAK
2017,81,Lee Smith,30.0,7.0,16,8,76,9.5,0,1.0,15.6,OAK
2017,82,Derek Carrier,27.0,6.0,14,8,71,8.9,0,1.1,15.1,LAR
2017,83,Ross Travis,24.0,3.0,15,7,76,10.9,0,1.0,14.6,
2017,84,Xavier Grimble,25.0,4.0,14,5,32,6.4,1,1.0,14.2,PIT
2017,85,Neal Sterling,25.0,3.0,10,6,82,13.7,0,1.4,14.2,NYJ
2017,86,Phillip Supernaw,27.0,4.0,14,4,39,9.8,1,1.0,13.9,TEN
2017,87,Luke Stocker,29.0,7.0,12,4,30,7.5,1,1.1,13.0,
2017,88,Alan Cross,24.0,2.0,8,5,58,11.6,0,1.4,10.8,TB
2017,89,Austin Traylor,24.0,1.0,6,4,64,16.0,0,1.7,10.4,DEN
2017,90,Jeremy Sprinkle,23.0,1.0,11,2,13,6.5,1,0.8,9.3,WAS
2017,91,Ben Koyack,24.0,3.0,16,5,38,7.6,0,0.6,8.8,JAX
2017,92,Jacob Hollister,24.0,1.0,15,4,42,10.5,0,0.6,8.7,NE
2017,93,Tyler Eifert,27.0,5.0,2,4,46,11.5,0,4.3,8.6,CIN
2017,94,Sean McGrath,30.0,6.0,15,4,46,11.5,0,0.6,8.6,LAC
2017,95,Michael Roberts,23.0,1.0,15,4,46,11.5,0,0.6,8.6,DET
2017,96,Will Tye,26.0,3.0,3,4,38,9.5,0,2.6,7.8,NYJ
2017,97,Orson Charles,26.0,6.0,5,2,53,26.5,0,1.5,7.3,KC
2017,98,Randall Telfer,25.0,3.0,16,3,36,12.0,0,0.4,6.6,CLE
2017,99,Darrell Daniels,23.0,1.0,12,3,26,8.7,0,0.5,5.6,IND
2017,100,Ifeanyi Momah,28.0,5.0,9,1,46,46.0,0,0.6,5.6,ARI
2017,101,Emanuel Byrd,23.0,1.0,1,2,31,15.5,0,5.1,5.1,GB
2017,102,Blake Bell,26.0,3.0,13,3,19,6.3,0,0.4,4.9,MIN
2017,103,Antony Auclair,24.0,1.0,5,2,25,12.5,0,0.9,4.5,TB
2017,104,Geoff Swaim,24.0,3.0,14,2,25,12.5,0,0.3,4.5,DAL
2017,105,Ryan Hewitt,26.0,4.0,13,2,22,11.0,0,0.3,4.2,CIN
2017,106,Chris Manhertz,25.0,4.0,9,2,17,8.5,0,0.4,3.7,CAR
2017,107,Cole Hikutini,23.0,1.0,3,2,15,7.5,0,1.2,3.5,SF
2017,108,MarQueis Gray,27.0,5.0,16,1,10,10.0,0,0.2,3.4,MIA
2017,109,Jeff Cumberland,30.0,8.0,7,2,2,1.0,0,0.3,2.2,LAC
2017,110,Garrett Griffin,23.0,2.0,1,1,4,4.0,0,1.4,1.4,NO
2017,111,Ryan Malleck,24.0,2.0,2,1,3,3.0,0,0.6,1.3,HOU
2017,112,Ben Braunecker,23.0,2.0,2,0,0,,0,0.0,0.0,CHI
2017,113,Cethan Carter,22.0,1.0,7,0,0,,0,0.0,0.0,CIN
2017,114,Kyle Carter,25.0,2.0,3,0,0,,0,0.0,0.0,MIN
2017,115,Gavin Escobar,26.0,5.0,2,0,0,,0,0.0,0.0,BAL
2017,116,Taysom Hill,27.0,1.0,1,0,0,,0,0.0,0.0,NO
2017,117,Gabe Holmes,26.0,3.0,2,0,0,,0,0.0,0.0,ARI
2017,118,Blake Jarwin,23.0,1.0,1,0,0,,0,0.0,0.0,DAL
2017,119,Henry Krieger-Coble,25.0,2.0,1,0,0,,0,0.0,0.0,IND
2017,120,Khari Lee,25.0,3.0,8,0,0,,0,0.0,0.0,BUF
2017,121,Matt Lengel,27.0,3.0,1,0,0,,0,0.0,0.0,CLE
2017,122,Kevin McDermott,27.0,5.0,1,0,0,,0,0.0,0.0,MIN
2017,123,Logan Paulsen,30.0,8.0,14,0,0,,0,0.0,0.0,SF
2017,124,John Phillips,30.0,9.0,1,0,0,,0,0.0,0.0,NO
2017,125,MyCole Pruitt,25.0,3.0,1,0,0,,0,0.0,0.0,HOU
2017,126,Eric Saubert,23.0,1.0,10,0,0,,0,0.0,0.0,ATL
2017,127,Hakeem Valles,25.0,2.0,1,0,0,,0,0.0,0.0,DET
2017,128,Jason Vander Laan,25.0,1.0,1,0,0,,0,0.0,0.0,IND
2018,1,Travis Kelce,29.0,6.0,16,103,1336,13.0,10,18.5,296.6,KC
2018,2,Zach Ertz,28.0,6.0,16,116,1163,10.0,8,17.5,280.3,PHI
2018,3,George Kittle,25.0,2.0,16,88,1377,15.6,5,16.0,256.7,SF
2018,4,Eric Ebron,25.0,5.0,16,66,750,11.4,13,14.0,224.2,IND
2018,5,Jared Cook,31.0,10.0,16,68,896,13.2,6,12.1,193.6,OAK
2018,6,Austin Hooper,24.0,3.0,16,71,660,9.3,4,10.1,161.0,ATL
2018,7,Kyle Rudolph,29.0,8.0,16,64,634,9.9,4,9.5,151.4,MIN
2018,8,Trey Burton,27.0,5.0,16,54,569,10.5,6,9.2,147.1,CHI
2018,9,David Njoku,22.0,2.0,16,56,639,11.4,4,9.0,143.9,CLE
2018,10,Vance McDonald,28.0,6.0,15,50,610,12.2,4,9.0,135.0,PIT
2018,11,Rob Gronkowski,29.0,9.0,13,47,682,14.5,3,10.2,133.2,NE
2018,12,Jimmy Graham,32.0,9.0,16,55,636,11.6,2,8.2,130.6,GB
2018,13,Evan Engram,24.0,2.0,11,45,577,12.8,3,11.3,124.3,NYG
2018,14,Devin Funchess,24.0,4.0,14,44,549,12.5,4,8.8,122.9,CAR
2018,15,Jordan Reed,28.0,6.0,13,54,558,10.3,2,9.4,121.8,WAS
2018,16,O.J. Howard,24.0,2.0,10,34,565,16.6,5,12.0,120.5,TB
2018,17,Chris Herndon,22.0,1.0,14,39,502,12.9,4,8.1,113.2,NYJ
2018,18,Mark Andrews,23.0,1.0,16,34,552,16.2,3,6.7,107.2,BAL
2018,19,C.J. Uzomah,25.0,4.0,16,43,439,10.2,3,6.6,104.9,CIN
2018,20,Cameron Brate,27.0,5.0,16,30,289,9.6,6,5.9,94.9,TB
2018,21,Dallas Goedert,23.0,1.0,16,33,334,10.1,4,5.6,90.4,PHI
2018,22,Ben Watson,38.0,15.0,16,35,400,11.4,2,5.4,87.0,NO
2018,23,Gerald Everett,24.0,2.0,16,33,320,9.7,3,5.3,84.6,LAR
2018,24,Jesse James,24.0,4.0,16,30,423,14.1,2,5.3,84.3,PIT
2018,25,Ian Thomas,22.0,1.0,15,36,333,9.3,2,5.4,81.3,CAR
2018,26,Greg Olsen,33.0,12.0,9,27,291,10.8,4,8.9,80.1,CAR
2018,27,Blake Jarwin,24.0,2.0,16,27,307,11.4,3,4.7,75.7,DAL
2018,28,Ricky Seals-Jones,23.0,2.0,15,34,343,10.1,1,5.0,74.3,ARI
2018,29,Nick Vannett,25.0,3.0,15,29,269,9.3,3,4.9,73.9,SEA
2018,30,Vernon Davis,34.0,13.0,14,25,367,14.7,2,5.3,73.7,WAS
2018,31,Antonio Gates,38.0,16.0,16,28,333,11.9,2,4.6,73.3,LAC
2018,32,Jeff Heuerman,26.0,4.0,11,31,281,9.1,2,6.5,71.1,DEN
2018,33,Kelvin Benjamin,27.0,5.0,15,25,380,15.2,1,4.6,69.0,
2018,34,Jordan Thomas,22.0,1.0,16,20,215,10.8,4,4.1,65.5,HOU
2018,35,Tyler Higbee,25.0,3.0,16,24,292,12.2,2,4.1,65.2,LAR
2018,36,Jonnu Smith,23.0,2.0,13,20,258,12.9,3,4.9,63.8,TEN
2018,37,Jack Doyle,28.0,6.0,6,26,245,9.4,2,10.4,62.5,IND
2018,38,Jordan Matthews,26.0,5.0,14,20,300,15.0,2,4.4,62.0,PHI
2018,39,Jason Croom,24.0,2.0,15,22,259,11.8,1,4.0,59.9,BUF
2018,40,Rhett Ellison,30.0,7.0,14,25,272,10.9,1,4.2,58.2,NYG
2018,41,Geoff Swaim,25.0,4.0,9,26,242,9.3,1,6.2,56.2,DAL
2018,42,Matt LaCosse,26.0,4.0,12,24,250,10.4,1,4.6,55.0,DEN
2018,43,Ryan Griffin,28.0,6.0,14,24,305,12.7,0,3.9,54.5,HOU
2018,44,Levine Toilolo,27.0,6.0,16,21,263,12.5,1,3.3,53.3,DET
2018,45,Anthony Firkser,23.0,2.0,10,19,225,11.8,1,4.8,47.5,TEN
2018,46,Demetrius Harris,27.0,6.0,15,12,164,13.7,3,3.1,46.4,KC
2018,47,Virgil Green,30.0,8.0,16,19,210,11.1,1,2.9,46.0,LAC
2018,48,James O'Shaughnessy,26.0,4.0,14,24,214,8.9,0,3.2,45.4,JAX
2018,49,Ed Dickson,31.0,9.0,10,12,143,11.9,3,4.5,45.2,SEA
2018,50,Nick Boyle,25.0,4.0,16,23,213,9.3,0,2.8,44.3,BAL
2018,51,Luke Stocker,30.0,8.0,16,15,165,11.0,2,2.7,43.5,TEN
2018,52,Mike Gesicki,23.0,1.0,16,22,202,9.2,0,2.6,42.2,MIA
2018,53,Lance Kendricks,30.0,8.0,16,19,170,8.9,1,2.6,42.0,GB
2018,54,Darren Fells,32.0,6.0,16,11,117,10.6,3,2.5,40.7,CLE
2018,55,Josh Hill,28.0,7.0,16,16,185,11.6,1,2.5,40.5,NO
2018,56,Jordan Akins,26.0,1.0,16,17,225,13.2,0,2.5,39.5,HOU
2018,57,Charles Clay,29.0,8.0,13,21,184,8.8,0,3.0,39.4,BUF
2018,58,Tyler Eifert,28.0,6.0,4,15,179,11.9,1,9.7,38.9,CIN
2018,59,Maxx Williams,24.0,4.0,13,16,143,8.9,1,2.9,37.1,BAL
2018,60,Michael Roberts,24.0,2.0,8,9,100,11.1,3,4.6,37.0,DET
2018,61,Will Dissly,22.0,1.0,4,8,156,19.5,2,8.9,35.6,SEA
2018,62,Taysom Hill,28.0,2.0,15,3,4,1.3,0,2.4,35.6,NO
2018,63,Hayden Hurst,25.0,1.0,12,13,163,12.5,1,2.9,35.3,BAL
2018,64,Lee Smith,31.0,8.0,16,10,73,7.3,3,2.2,35.3,OAK
2018,65,Erik Swoope,26.0,5.0,7,8,87,10.9,3,5.0,34.7,IND
2018,66,Dan Arnold,23.0,2.0,10,12,150,12.5,1,3.3,33.0,NO
2018,67,Mo Alie-Cox,25.0,2.0,9,7,133,19.0,2,3.6,32.3,IND
2018,68,Jordan Leggett,23.0,2.0,15,14,114,8.1,1,2.1,31.4,NYJ
2018,69,Garrett Celek,30.0,7.0,15,5,90,18.0,2,1.7,26.0,SF
2018,70,Austin Seferian-Jenkins,26.0,5.0,5,11,90,8.2,1,5.2,26.0,JAX
2018,71,MyCole Pruitt,26.0,4.0,14,9,102,11.3,1,1.8,25.2,TEN
2018,72,Logan Paulsen,31.0,9.0,15,9,91,10.1,1,1.6,24.1,ATL
2018,73,Dalton Schultz,22.0,1.0,11,12,116,9.7,0,2.1,23.6,DAL
2018,74,Scott Simonson,26.0,5.0,16,9,86,9.6,1,1.5,23.6,NYG
2018,75,Nick O'Leary,26.0,4.0,10,8,86,10.8,1,2.3,22.6,MIA
2018,76,Luke Willson,28.0,6.0,14,13,87,6.7,0,1.6,21.7,DET
2018,77,Logan Thomas,27.0,5.0,12,12,77,6.4,0,1.7,20.3,BUF
2018,78,Derek Carrier,28.0,7.0,16,7,67,9.6,1,1.2,19.7,OAK
2018,79,Niles Paul,29.0,8.0,6,10,98,9.8,0,3.2,19.5,JAX
2018,80,Seth DeValve,25.0,3.0,12,5,74,14.8,1,1.5,18.4,CLE
2018,81,Jermaine Gresham,30.0,9.0,13,9,94,10.4,0,1.4,18.4,ARI
2018,82,Robert Tonyan Jr,24.0,2.0,11,4,77,19.3,1,1.6,17.7,GB
2018,83,Jake Butt,23.0,2.0,3,8,85,10.6,0,5.5,16.5,DEN
2018,84,Adam Shaheen,24.0,2.0,5,5,48,9.6,1,3.2,15.8,CHI
2018,85,Darren Waller,26.0,4.0,4,6,75,12.5,0,3.9,15.6,OAK
2018,86,Eric Tomlinson,26.0,4.0,15,8,72,9.0,0,1.0,15.2,NYJ
2018,87,Jeremy Sprinkle,24.0,2.0,16,5,41,8.2,1,0.9,15.1,WAS
2018,88,Blake Bell,27.0,4.0,10,8,67,8.4,0,1.5,14.7,JAX
2018,89,Xavier Grimble,26.0,5.0,15,6,86,14.3,0,1.0,14.6,PIT
2018,90,A.J. Derby,27.0,4.0,4,3,48,16.0,1,3.4,13.8,MIA
2018,91,Chris Manhertz,26.0,5.0,16,2,52,26.0,1,0.8,13.2,CAR
2018,92,Tyler Conklin,23.0,1.0,16,5,77,15.4,0,0.8,12.7,MIN
2018,93,David Grinnage,24.0,3.0,3,6,61,10.2,0,4.0,12.1,JAX
2018,94,Antony Auclair,25.0,2.0,16,7,48,6.9,0,0.7,11.8,TB
2018,95,Joshua Perkins,25.0,3.0,8,5,67,13.4,0,1.5,11.7,PHI
2018,96,Durham Smythe,23.0,1.0,15,6,50,8.3,0,0.7,11.0,MIA
2018,97,Matt Lengel,28.0,4.0,6,3,17,5.7,1,1.8,10.7,CIN
2018,98,Neal Sterling,26.0,4.0,5,6,47,7.8,0,2.1,10.7,NYJ
2018,99,Eric Saubert,24.0,2.0,16,5,48,9.6,0,0.6,9.8,ATL
2018,100,Jacob Hollister,25.0,2.0,7,4,52,13.0,0,1.3,9.2,NE
2018,101,Delanie Walker,34.0,13.0,1,4,52,13.0,0,9.2,9.2,TEN
2018,102,David Morgan,25.0,3.0,11,5,36,7.2,0,0.8,8.6,MIN
2018,103,Brian Parker,26.0,4.0,11,5,33,6.6,0,0.8,8.3,DEN
2018,104,Tyler Kroft,26.0,4.0,5,4,36,9.0,0,1.5,7.6,CIN
2018,105,Rico Gathers,24.0,3.0,15,3,45,15.0,0,0.5,7.5,DAL
2018,106,Ben Braunecker,24.0,3.0,14,3,42,14.0,0,0.5,7.2,CHI
2018,107,Ryan Hewitt,27.0,5.0,12,1,1,1.0,1,0.6,7.1,IND
2018,108,Marcedes Lewis,34.0,13.0,16,3,39,13.0,0,0.4,6.9,GB
2018,109,John Phillips,31.0,10.0,8,3,38,12.7,0,0.8,6.8,ARI
2018,110,Dwayne Allen,28.0,7.0,13,3,27,9.0,0,0.4,5.7,NE
2018,111,Jordan Franks,22.0,1.0,3,2,37,18.5,0,1.9,5.7,CIN
2018,112,Orson Charles,27.0,7.0,13,3,23,7.7,0,0.4,5.3,CLE
2018,113,Sean Culkin,25.0,2.0,13,1,24,24.0,0,0.3,3.4,LAC
2018,114,Ross Dwelley,23.0,1.0,6,2,14,7.0,0,0.6,3.4,SF
2018,115,Tyrone Swoopes,24.0,2.0,1,1,23,23.0,0,3.3,3.3,SEA
2018,116,Hakeem Valles,26.0,3.0,3,2,11,5.5,0,1.0,3.1,DET
2018,117,Alan Cross,25.0,3.0,14,2,9,4.5,0,0.2,2.9,TB
2018,118,Dion Sims,27.0,6.0,8,2,9,4.5,0,0.4,2.9,CHI
2018,119,Richard Rodgers,26.0,5.0,6,1,7,7.0,0,0.3,1.7,PHI
2018,120,Khari Lee,26.0,4.0,2,1,5,5.0,0,0.8,1.5,BUF
2018,121,Johnny Mundt,24.0,2.0,8,1,5,5.0,0,0.2,1.5,LAR
2018,122,Beau Brinkley,28.0,7.0,1,0,0,,0,0.0,0.0,TEN
2018,123,Daniel Brown,26.0,4.0,9,0,0,,0,0.0,0.0,CHI
2018,124,Jerome Cunningham,27.0,5.0,1,0,0,,0,0.0,0.0,DET
2018,125,Darrell Daniels,24.0,2.0,7,0,0,,0,0.0,0.0,
2018,126,Alex Ellis,25.0,3.0,2,0,0,,0,0.0,0.0,KC
2018,127,Temarrick Hemingway,25.0,3.0,2,0,0,,0,0.0,0.0,DEN
2018,128,Gabe Holmes,27.0,4.0,8,0,0,,0,0.0,0.0,ARI
2018,129,Ben Koyack,25.0,4.0,7,0,0,,0,0.0,0.0,JAX
2018,130,Mason Schreck,25.0,2.0,3,0,0,,0,0.0,0.0,CIN
2018,131,Clive Walford,27.0,4.0,1,0,0,,0,0.0,0.0,NYJ
2018,132,Cole Wick,25.0,3.0,3,0,0,,0,0.0,0.0,SF
2018,133,Mike Windt,32.0,9.0,1,0,0,,0,0.0,0.0,LAC
2019,1,Travis Kelce,30.0,7.0,16,97,1229,12.7,5,16.0,256.3,KC
2019,2,Darren Waller,27.0,5.0,16,90,1146,12.7,3,13.9,223.1,OAK
2019,3,George Kittle,26.0,3.0,14,85,1053,12.4,5,15.9,222.5,SF
2019,4,Zach Ertz,29.0,7.0,15,88,916,10.4,6,14.4,215.6,PHI
2019,5,Mark Andrews,24.0,2.0,15,64,852,13.3,10,13.9,209.2,BAL
2019,6,Austin Hooper,25.0,4.0,13,75,787,10.5,6,14.6,189.7,ATL
2019,7,Jared Cook,32.0,11.0,14,43,705,16.4,9,12.0,167.5,NO
2019,8,Tyler Higbee,26.0,4.0,15,69,734,10.6,3,10.7,160.4,LAR
2019,9,Hunter Henry,25.0,4.0,12,55,652,11.9,5,12.5,150.2,LAC
2019,10,Dallas Goedert,24.0,2.0,15,58,607,10.5,5,9.9,148.7,PHI
2019,11,Jason Witten,37.0,17.0,16,63,529,8.4,4,8.7,139.9,DAL
2019,12,Mike Gesicki,24.0,2.0,16,51,570,11.2,5,8.6,138.0,MIA
2019,13,Greg Olsen,34.0,13.0,14,52,597,11.5,2,8.8,123.7,CAR
2019,14,Noah Fant,22.0,1.0,16,40,562,14.1,3,7.1,113.0,DEN
2019,15,Jack Doyle,29.0,7.0,16,43,448,10.4,4,7.0,111.8,IND
2019,16,Kyle Rudolph,30.0,9.0,16,39,367,9.4,6,7.0,111.7,MIN
2019,17,Darren Fells,33.0,7.0,15,34,341,10.0,7,7.3,110.1,HOU
2019,18,Evan Engram,25.0,3.0,8,44,467,10.6,3,13.7,109.4,NYG
2019,19,Jonnu Smith,24.0,3.0,16,35,439,12.5,3,6.5,104.7,TEN
2019,20,Tyler Eifert,29.0,7.0,16,43,436,10.1,3,6.5,104.6,CIN
2019,21,Taysom Hill,29.0,3.0,16,19,234,12.3,6,6.4,102.2,NO
2019,22,Jimmy Graham,33.0,10.0,16,38,447,11.8,3,6.3,100.7,GB
2019,23,Ryan Griffin,29.0,7.0,13,34,320,9.4,5,7.4,96.0,NYJ
2019,24,Jacob Hollister,26.0,3.0,11,41,349,8.5,3,8.5,93.9,SEA
2019,25,Cameron Brate,28.0,6.0,16,36,311,8.6,4,5.7,91.1,TB
2019,26,Jordan Akins,27.0,2.0,16,36,418,11.6,2,5.6,89.8,HOU
2019,27,Gerald Everett,25.0,3.0,13,37,408,11.0,2,6.9,89.8,LAR
2019,28,Eric Ebron,26.0,6.0,11,31,375,12.1,3,7.9,86.5,IND
2019,29,O.J. Howard,25.0,3.0,14,34,459,13.5,1,6.1,85.9,TB
2019,30,Blake Jarwin,25.0,3.0,16,31,365,11.8,3,5.3,85.5,DAL
2019,31,Vance McDonald,29.0,7.0,14,38,273,7.2,3,6.0,83.5,PIT
2019,32,T.J. Hockenson,22.0,1.0,12,32,367,11.5,2,6.7,80.7,DET
2019,33,Dawson Knox,23.0,1.0,15,28,388,13.9,2,5.3,79.7,BUF
2019,34,Irv Smith,21.0,1.0,16,36,311,8.6,2,4.9,79.1,MIN
2019,35,Hayden Hurst,26.0,2.0,16,30,349,11.6,2,4.8,76.9,BAL
2019,36,Kaden Smith,22.0,1.0,9,31,268,8.6,3,8.4,75.8,NYG
2019,37,Nick Boyle,26.0,5.0,16,31,321,10.4,2,4.7,75.1,BAL
2019,38,Will Dissly,23.0,2.0,6,23,262,11.4,4,12.3,73.9,SEA
2019,39,Foster Moreau,22.0,1.0,13,21,174,8.3,5,5.3,68.4,OAK
2019,40,Josh Hill,29.0,8.0,16,25,226,9.0,3,4.1,65.6,NO
2019,41,C.J. Uzomah,26.0,5.0,16,27,242,9.0,2,4.0,63.2,CIN
2019,42,Ricky Seals-Jones,24.0,3.0,14,14,229,16.4,4,4.4,60.9,CLE
2019,43,Jeremy Sprinkle,25.0,3.0,16,26,241,9.3,1,3.5,56.1,WAS
2019,44,Delanie Walker,35.0,14.0,7,21,215,10.2,2,7.8,54.5,TEN
2019,45,Demetrius Harris,28.0,7.0,15,15,149,9.9,3,3.2,47.9,CLE
2019,46,Charles Clay,30.0,9.0,15,18,237,13.2,1,3.2,47.7,ARI
2019,47,James O'Shaughnessy,27.0,5.0,5,14,153,10.9,2,8.3,41.3,JAX
2019,48,Maxx Williams,25.0,5.0,16,15,202,13.5,1,2.6,41.2,ARI
2019,49,Rhett Ellison,31.0,8.0,10,18,167,9.3,1,4.1,40.7,NYG
2019,50,Anthony Firkser,24.0,3.0,15,14,204,14.6,1,2.7,40.4,TEN
2019,51,Logan Thomas,28.0,6.0,16,16,173,10.8,1,2.5,39.3,DET
2019,52,Marcedes Lewis,35.0,14.0,16,15,156,10.4,1,2.3,36.6,GB
2019,53,Ross Dwelley,24.0,2.0,16,15,91,6.1,2,2.3,36.1,SF
2019,54,Ian Thomas,23.0,2.0,16,16,136,8.5,1,2.2,35.6,CAR
2019,55,Ben Watson,39.0,16.0,10,17,173,10.2,0,3.4,34.3,NE
2019,56,Nick Vannett,26.0,4.0,16,17,166,9.8,0,2.1,33.6,
2019,57,Dan Arnold,24.0,3.0,5,8,127,15.9,2,6.5,32.7,
2019,58,Derek Carrier,29.0,8.0,15,13,108,8.3,1,2.2,32.5,OAK
2019,59,Matt LaCosse,27.0,5.0,11,13,131,10.1,1,2.9,32.1,NE
2019,60,Jeff Heuerman,27.0,5.0,14,14,114,8.1,1,2.2,31.4,DEN
2019,61,Jesse James,25.0,5.0,16,16,142,8.9,0,1.9,30.2,DET
2019,62,Jaeden Graham,24.0,2.0,14,9,149,16.6,1,2.1,29.9,ATL
2019,63,Nick O'Leary,27.0,5.0,12,13,109,8.4,1,2.5,29.9,
2019,64,Vernon Davis,35.0,14.0,4,10,123,12.3,1,7.1,28.3,WAS
2019,65,Seth DeValve,26.0,4.0,12,12,140,11.7,0,2.2,26.0,JAX
2019,66,Robert Tonyan Jr,25.0,3.0,11,10,100,10.0,1,2.4,26.0,GB
2019,67,Andrew Beck,23.0,1.0,14,9,90,10.0,1,1.8,24.5,DEN
2019,68,Hale Hentges,23.0,1.0,9,8,103,12.9,1,2.7,24.3,WAS
2019,69,Joshua Perkins,26.0,4.0,4,9,87,9.7,1,5.9,23.7,PHI
2019,70,Ryan Izzo,24.0,2.0,6,6,114,19.0,1,3.9,23.4,NE
2019,71,Virgil Green,31.0,9.0,15,9,78,8.7,1,1.5,22.8,LAC
