Year,Rank,Name,Age,Exp,G,Rsh,RshYd,RshTD,Rec,RecYd,Y/Rec,RecTD,FP/G,FantPt,Team
2004,148,Billy McMullen,24.0,2.0,3,0,0,0,3,24,8.0,0,1.8,5.4,PHI
2004,149,Cliff Russell,25.0,2.0,4,3,15,0,1,21,21.0,0,1.2,4.6,CIN
2004,150,Karl Hankton,34.0,7.0,1,0,0,0,2,25,12.5,0,4.5,4.5,CAR
2004,151,Tyrone Calico,24.0,2.0,1,0,0,0,2,13,6.5,0,3.3,3.3,TEN
2004,152,Talman Gardner,24.0,2.0,1,0,0,0,1,23,23.0,0,3.3,3.3,NO
2004,153,Brad Pyatt,24.0,2.0,1,0,0,0,2,12,6.0,0,3.2,3.2,IND
2004,154,Andrae Thurman,24.0,1.0,1,0,0,0,2,12,6.0,0,3.2,3.2,GB
2004,155,Alex Bannister,25.0,4.0,2,0,0,0,2,10,5.0,0,1.5,3.0,SEA
2004,156,Johnnie Morant,23.0,1.0,2,0,0,0,1,20,20.0,0,1.5,3.0,OAK
2004,157,Dedric Ward,30.0,8.0,5,1,11,0,1,5,5.0,0,0.5,2.6,DAL
2004,158,Devard Darling,22.0,1.0,1,0,0,0,2,5,2.5,0,2.5,2.5,BAL
2004,159,Ronald Bellamy,23.0,1.0,1,0,0,0,1,8,8.0,0,1.8,1.8,MIA
2004,160,Mike Furrey,27.0,2.0,1,0,0,0,1,8,8.0,0,1.8,1.8,STL
2004,161,Sean Morey,28.0,1.0,2,0,0,0,1,8,8.0,0,0.9,1.8,PIT
2004,162,Aaron Moorehead,24.0,2.0,1,0,0,0,1,7,7.0,0,1.7,1.7,IND
2004,163,Troy Walters,28.0,5.0,1,0,0,0,1,5,5.0,0,1.5,1.5,IND
2004,164,Keenan Howry,23.0,2.0,1,0,0,0,1,3,3.0,0,1.3,1.3,MIN
2004,165,Eddie Drummond,24.0,3.0,1,1,9,0,0,0,,0,0.9,0.9,DET
2004,166,Willie Ponder,24.0,2.0,2,1,-4,0,1,3,3.0,0,0.4,0.9,NYG
2005,1,Steve Smith,26.0,5.0,16,4,25,1,103,1563,15.2,12,21.2,339.8,CAR
2005,2,Larry Fitzgerald,22.0,2.0,16,8,41,0,103,1409,13.7,10,19.2,308.0,ARI
2005,3,Chad Johnson,27.0,5.0,16,5,33,0,97,1432,14.8,9,18.6,297.5,CIN
2005,4,Torry Holt,29.0,7.0,14,1,2,0,102,1331,13.0,9,20.7,289.3,STL
2005,5,Anquan Boldin,25.0,3.0,14,12,45,0,102,1402,13.7,7,20.6,288.7,ARI
2005,6,Santana Moss,26.0,5.0,16,3,-3,0,84,1483,17.7,9,17.9,286.0,WAS
2005,7,Joey Galloway,34.0,11.0,16,2,4,0,83,1287,15.5,10,17.0,272.1,TB
2005,8,Chris Chambers,27.0,5.0,16,12,92,0,82,1118,13.6,11,16.8,269.0,MIA
2005,9,Marvin Harrison,33.0,10.0,15,0,0,0,82,1146,14.0,12,17.9,268.6,IND
2005,10,Plaxico Burress,28.0,6.0,16,0,0,0,76,1214,16.0,7,15.0,239.4,NYG
2005,11,Donald Driver,30.0,7.0,16,2,13,0,86,1221,14.2,5,15.0,239.4,GB
2005,12,Hines Ward,29.0,8.0,15,3,10,0,69,975,14.1,11,15.6,233.5,PIT
2005,13,Rod Smith,35.0,11.0,16,1,7,0,85,1105,13.0,6,14.5,232.2,DEN
2005,14,T.J. Houshmandzadeh,28.0,5.0,14,8,62,1,78,956,12.3,7,16.3,227.8,CIN
2005,15,Terry Glenn,31.0,10.0,16,2,-4,1,62,1136,18.3,7,14.0,223.2,DAL
2005,16,Reggie Wayne,27.0,5.0,16,0,0,0,83,1055,12.7,5,13.7,218.5,IND
2005,17,Keenan McCardell,35.0,14.0,16,3,2,0,70,917,13.1,9,13.5,215.9,SD
2005,18,Eddie Kennison,32.0,10.0,16,7,43,0,68,1102,16.2,5,13.3,212.5,KC
2005,19,Derrick Mason,31.0,9.0,16,0,0,0,86,1073,12.5,3,13.2,211.3,BAL
2005,20,Randy Moss,28.0,8.0,16,0,0,0,60,1005,16.8,8,13.0,208.5,OAK
2005,21,Jimmy Smith,36.0,14.0,16,0,0,0,70,1023,14.6,6,13.0,208.3,JAX
2005,22,Deion Branch,26.0,4.0,16,0,0,0,78,998,12.8,5,13.0,207.8,NE
2005,23,Donte Stallworth,25.0,4.0,16,2,2,0,70,945,13.5,7,12.9,206.7,NO
2005,24,Jerry Porter,27.0,6.0,16,1,-8,0,76,942,12.4,5,12.5,199.4,OAK
2005,25,Antonio Bryant,24.0,4.0,16,1,3,0,69,1009,14.6,4,12.1,194.2,CLE
2005,26,Keyshawn Johnson,33.0,10.0,16,1,3,0,71,839,11.8,6,12.0,191.2,DAL
2005,27,Laveranues Coles,28.0,6.0,16,0,0,0,73,845,11.6,5,11.7,187.5,NYJ
2005,28,Eric Moulds,32.0,10.0,15,0,0,0,81,816,10.1,4,12.4,186.6,BUF
2005,29,Joe Jurevicius,31.0,8.0,16,0,0,0,55,694,12.6,10,11.5,184.4,SEA
